            sncrna_family           t            p   adjusted_p
1     mature-tRNA-Arg-TCT  0.32345921 7.476204e-01 1.000000e+00
2     mature-tRNA-Cys-GCA -0.05107452 9.596565e-01 1.000000e+00
3     mature-tRNA-Gln-CTG -0.82530868 4.167049e-01 1.000000e+00
4     mature-tRNA-Gln-TTG -1.42041725 1.735674e-01 1.000000e+00
5    mature-tRNA-iMet-CAT  0.34136077 7.355755e-01 1.000000e+00
6     mature-tRNA-Phe-GAA -0.05107452 9.596565e-01 1.000000e+00
7     mature-tRNA-Pro-AGG -1.06683686 2.933494e-01 1.000000e+00
8     mature-tRNA-Pro-CGG -1.06683686 2.933494e-01 1.000000e+00
9     mature-tRNA-Pro-TGG -1.06683686 2.933494e-01 1.000000e+00
10    mature-tRNA-SeC-TCA -2.36328415 2.587195e-02 8.279024e-01
11    mature-tRNA-Thr-TGT -1.58406480 1.252684e-01 1.000000e+00
12    mature-tRNA-Val-AAC  0.34081150 7.336898e-01 1.000000e+00
13    mature-tRNA-Val-CAC  0.34153753 7.331208e-01 1.000000e+00
14    mature-tRNA-Val-TAC -0.27633434 7.833660e-01 1.000000e+00
15 mature-mt_tRNA-Cys-GCA  0.46815978 6.456166e-01 1.000000e+00
16 mature-mt_tRNA-His-GTG  1.74643086 9.877838e-02 1.000000e+00
17 mature-mt_tRNA-Ile-GAT  1.31944196 1.938463e-01 1.000000e+00
18 mature-mt_tRNA-Leu-TAA  1.09983754 2.867343e-01 1.000000e+00
19 mature-mt_tRNA-Leu-TAG  1.70691433 1.060360e-01 1.000000e+00
20 mature-mt_tRNA-Lys-TTT -0.27065245 7.874436e-01 1.000000e+00
21 mature-mt_tRNA-Met-CAT -0.85311425 3.974351e-01 1.000000e+00
22 mature-mt_tRNA-Phe-GAA  6.15516169 1.533743e-09 4.907978e-08
23 mature-mt_tRNA-Pro-TGG  1.83070975 6.971074e-02 1.000000e+00
24 mature-mt_tRNA-Ser-GCT  2.03801203 4.527538e-02 1.000000e+00
25 mature-mt_tRNA-Thr-TGT -1.18423139 2.426794e-01 1.000000e+00
26 mature-mt_tRNA-Tyr-GTA -0.53701781 5.982144e-01 1.000000e+00
27               12S-rRNA -2.66885217 7.664500e-03 2.452640e-01
28               16S-rRNA -8.29898593 1.293985e-16 4.140751e-15
29               18S-rRNA -3.86564354 1.115759e-04 3.570428e-03
30               28S-rRNA -5.73368413 1.014428e-08 3.246169e-07
31                5S-rRNA  0.60959016 5.435441e-01 1.000000e+00
32              RNY4-YRNA -0.55395391 5.799937e-01 1.000000e+00
